1, 626, 129, 20, 5, 12, 7, 1244, 
1, 1075, 643, 20, 5, 13, 14, 14396, 
1, 874, 870, 18, 5, 12, 9, 15056, 
1, 1182, 91, 19, 5, 12, 11, 15345, 
1, 1014, 696, 19, 5, 12, 17, 17894, 
2,  51, 528, 13, 3, 20529, 
2,  462, 774, 19, 3, 20529, 
2,  1030, 329, 17, 3, 20529, 
4, 1226, 57, 13, 0, 13, 
4, 1226, 57, 13, 0, 13, 
2,  415, 194, 14, 2, 20529, 
2,  767, 546, 16, 6, 20529, 
2,  901, 840, 17, 2, 20529, 
2,  912, 479, 17, 6, 20529, 
2,  85, 169, 14, 4, 20529, 
2,  1135, 115, 19, 3, 20529, 
4, 1196, 795, 19, 0, 19, 
2,  296, 495, 14, 4, 20529, 
4, 1615, 231, 14, 0, 14, 
4, 1017, 892, 13, 0, 13, 
2,  1235, 755, 16, 5, 20529, 
2,  11, 852, 13, 2, 20529, 
2,  1064, 175, 17, 1, 20529, 
2,  370, 93, 19, 6, 20529, 
2,  183, 825, 16, 2, 20529, 
4, 1088, 710, 17, 0, 17, 
2,  125, 882, 15, 2, 20529, 
2,  1411, 878, 15, 4, 20529, 
2,  233, 656, 19, 1, 20529, 
2,  724, 551, 15, 6, 20529, 
2,  247, 709, 15, 5, 20529, 
2,  1084, 41, 12, 2, 20529, 
2,  1166, 400, 18, 3, 20529, 
4, 1005, 673, 20, 0, 20, 
2,  616, 33, 16, 5, 20529, 
2,  751, 469, 15, 5, 20529, 
3, 1, 29, 15.241379310344827, 21, 15.904761904761905, 7, 50, 15.52, 28, 15.571428571428571, 384, 
1, 770, 643, 20, 5, 13, 10, 24040, 
2,  409, 644, 14, 3, 40565, 
2,  367, 91, 19, 4, 40565, 
4, 1121, 573, 13, 0, 13, 
4, 1121, 573, 13, 0, 13, 
2,  771, 21, 13, 5, 40565, 
2,  834, 480, 14, 6, 40565, 
2,  161, 645, 20, 9, 40565, 
2,  406, 580, 17, 5, 40565, 
4, 1503, 731, 17, 0, 17, 
4, 924, 448, 13, 0, 13, 
2,  234, 681, 14, 6, 40565, 
2,  709, 45, 18, 2, 40565, 
2,  999, 209, 17, 3, 40565, 
2,  680, 21, 14, 6, 40565, 
4, 749, 259, 13, 0, 13, 
2,  746, 876, 19, 2, 40565, 
2,  494, 830, 14, 3, 40565, 
4, 1178, 99, 13, 0, 13, 
4, 975, 244, 17, 0, 17, 
2,  505, 716, 20, 9, 40565, 
3, 2, 14, 16.142857142857142, 14, 15.5, 7, 28, 15.821428571428571, 21, 14.142857142857142, 261, 
